Jam,Tanggal,Jam Ke...,Nama_Guru,Rombel,Mata_Pelajaran,Materi,Catatan,Kehadiran_Siswa
08:14:26,20-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20549574196001,Kelas 3A,Bahasa Indonesia,Pengertian teks eksposisi dan ciri-cirinya.,-,"H: 0, S: 0, I: 0, A: 0"
08:56:51,20-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137196002,Kelas 6A,Pendidikan Pancasila,Perkenalan Diagnosis Non Kognitif ,Pengenalan Materi,"H: 0, S: 0, I: 0, A: 0"
09:08:17,20-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137188001,Kelas 3B,Bahasa Indonesia,Kawan seiring. Bagaimana menjadi teman yang baik,-,"H: 0, S: 0, I: 0, A: 0"
09:19:24,20-07-2026,Jam Ke-1 s.d. Jam Ke-2,5942759661300032,Kelas 5A,Matematika,Membaca dan menulis bilangan cacah sampai 100.000 dan menentukan nilai tempatnya ,-,Absensi belum diisi
10:07:31,20-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137193001,Kelas 4B,Bahasa Indonesia,Kalimat transitif dan intransitif,Anak-anak masih kurang faham tentang kalimat transitif,Absensi belum diisi
10:09:22,20-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137193001,Kelas 4B,Bahasa Indonesia,Kalimat transitif dan intransitif,Anak anak belum faham tentang kalimat transitif,Absensi belum diisi
15:32:16,20-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137203001,Kelas 4A,Bahasa Indonesia,Kalimat Transitif dan Intransitif,-,"H: 20, S: 2, I: 0, A: 0"
08:10:17,21-07-2026,Jam Ke-1 s.d. Jam Ke-2,5942759661300032,Kelas 5A,Baca Tulis Al Qur'an,Hukum bacaan nun sukun atau tanwin ( ikhfa dan iqlab ),-,Absensi belum diisi
16:28:32,21-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 3A,Al Qur'an Hadis,Qalqalah Sugra,Gusti tidak tuntas menulis materi,"H: 25, S: 0, I: 0, A: 1"
16:28:07,21-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137197001,Kelas 3B,Al Qur'an Hadis,Qalqalah Sugra,"Rafi tidak menulis 
Rafan, haidar, tidak tuntas menulis","H: 26, S: 0, I: 0, A: 0"
15:31:40,21-07-2026,Jam Ke-6 s.d. Jam Ke-7,ID20548137203001,Kelas 4A,Sejarah Kebudayaan Islam,Dakwah nabi muhammad,-,"H: 21, S: 1, I: 0, A: 0"
16:18:43,21-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 5B,Al Qur'an Hadis,Bacaan dan Terjemah Surat Al Adiyat,-,"H: 22, S: 2, I: 0, A: 1"
12:53:10,22-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 4A,Al Qur'an Hadis,Perkenalan Terminologi Al Qur'an Hadis,-,"H: 21, S: 1, I: 0, A: 0"
09:39:51,22-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 5A,Bahasa Inggris,Buying some mangoes and spinach,Practice using word : i want ...,"H: 25, S: 0, I: 0, A: 0"
09:40:20,22-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137197001,Kelas 5B,Bahasa Inggris,Buying some mangoes and spinach,Practice using word : i want ...,"H: 25, S: 0, I: 0, A: 0"
12:54:08,22-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 4B,Al Qur'an Hadis,Perkenalan Terminologi Al Qur'an Hadis,-,"H: 22, S: 0, I: 0, A: 0"
